ID_SENSOR,NOM_SENSOR,CONTAMINANTE,MINIMO,MAXIMO,UNIDADES,VARIACION,DESCRIPCION,MARCA,MODELO,FECHA_INSTALACION,ID_ESTACION
026701-01,CTR,NUM,0,1000000,U,1,Contador de prueba,N/A,N/A,2024-05-23 08:56:02.583,014026701
026706-01,ZE12,CO,0,10,ppm,1,Sensor Monoxido de Carbono,Sensirion,ZE12-CO,2023-03-08 20:59:13.163,014026706
026706-02,ZE12,SO2,0,1,ppm,1,Sensor Diòxido de Azufre,Sensirion,ZE12-SO2,2023-03-08 20:59:13.163,014026706
026706-03,ZE12,NO2,0,1,ppm,1,Sensor Diòxido de Nitrògeno,Sensirion,ZE12-NO2,2023-03-08 20:59:13.163,014026706
026706-04,ZE12,O3,0,1,ppm,1,Sensor de Ozono,Sensirion,ZE12-O3,2023-03-08 20:59:13.163,014026706
026706-05,BME280,T,-40,85,°C,1,Temperatura,Sensirion,BME280-T,2023-03-08 20:59:13.163,014026706
026706-06,BME280,H,0,100,%,1,Humedad,Sensirion,BME280-H,2023-03-08 20:59:13.163,014026706
026706-07,BME280,P,300,1100,hPa,1,Presiòn,Sensirion,BME280-P,2023-03-08 20:59:13.163,014026706
026706-08,PM3006S,PM2.5,50,1000,ug/m3,1,Partìculas PM 2.5,Sensirion,PM3006S-PM2.5,2023-03-08 20:59:13.163,014026706
026706-09,PM3006S,PM10,100,1000,ug/m3,1,Partìculas PM 10,Sensirion,PM3006S-PM10,2023-03-08 20:59:13.163,014026706
026706-10,FST200,DV,0,360,°,1,Direcciòn del Viento,Sensirion,FST200-DV,2023-03-08 20:59:13.163,014026706
026706-11,FST200,VV,0,70,m/s,1,Velocidad del Viento,Sensirion,FST200-VV,2023-03-08 20:59:13.163,014026706
026706-12,MH-RD,PP,0,100,%,1,Precipitaciòn Pluvial,Sensirion,MH-RD-PP,2023-03-08 20:59:13.163,014026706
026706-13,MH-RD,LL,0,1,x,1,Lluvia Presente,Sensirion,FST200-LL,2023-03-08 20:59:13.163,014026706
026711-01,ZE12,CO,0,10,ppm,1,Sensor Monoxido de Carbono,Winsen,ZE12-CO,2024-02-20 09:17:47.883,014026711
026711-02,ZE12,SO2,0,1,ppm,1,Sensor Dióxido de Azufre,Winsen,ZE12-SO2,2024-02-20 09:17:47.883,014026711
026711-03,ZE12,NO2,0,1,ppm,1,Sensor de Dióxido de Nitrógeno,Winsen,ZE12-NO2,2024-02-20 09:37:54.030,014026711
026711-04,ZE12,O3,0,1,ppm,1,Sensor de Ozono,Winsen,ZE12-O3,2024-02-20 09:37:54.030,014026711
026711-05,BME280,T,-40,85,°C,1,Temperatura,BOSCH,BME280-T,2024-02-20 09:37:54.030,014026711
026711-06,BME280,H,0,100,%,1,Humedad,BOSCH,BME280-H,2024-02-20 09:37:54.030,014026711
026711-07,BME280,P,300,1100,hPa,1,Presión,BOSCH,BME280-P,2024-02-20 09:37:54.030,014026711
026711-08,PM3006S,PM2.5,50,1000,ug/m3,1,Partículas PM 2.5,Cubic,PM3006S-PM2.5,2024-02-20 09:37:54.030,014026711
026711-09,PM3006S,PM10,100,1000,ug/m3,1,Partículas PM 10,Cubic,PM3006S-PM10,2024-02-20 09:37:54.030,014026711
026711-10,FST200,DV,0,360,°,1,Dirección del Viento,First Rate,FST200-DV,2024-02-20 09:37:54.030,014026711
026711-11,FST200,VV,0,70,m/s,1,Velocidad del Viento,First Rate,FST200-VV,2024-02-20 09:37:54.030,014026711
026711-12,MH-RD,PP,0,100,%,1,Precipitación Pluvial,OEM,MH-RD-PP,2024-02-20 09:37:54.030,014026711
026711-13,MH-RD,LL,0,1,x,1,Lluvia Presente,OEM,MH-RD-LL,2024-02-20 09:37:54.030,014026711
026712-01,ZE12,CO,0,10,ppm,1,Sensor Monoxido de Carbono,Winsen,ZE12-CO,2024-02-20 09:44:36.147,014026712
026712-02,ZE12,SO2,0,1,ppm,1,Sensor Dióxido de Azufre,Winsen,ZE12-SO2,2024-02-20 09:44:36.147,014026712
026712-03,ZE12,NO2,0,1,ppm,1,Sensor de Dióxido de Nitrógeno,Winsen,ZE12-NO2,2024-02-20 09:44:36.147,014026712
026712-04,ZE12,O3,0,1,ppm,1,Sensor de Ozono,Winsen,ZE12-O3,2024-02-20 09:44:36.147,014026712
026712-05,BME280,T,-40,85,°C,1,Temperatura,BOSCH,BME280-T,2024-02-20 09:44:36.147,014026712
026712-06,BME280,H,0,100,%,1,Humedad,BOSCH,BME280-H,2024-02-20 09:44:36.147,014026712
026712-07,BME280,P,300,1100,hPa,1,Presión,BOSCH,BME280-P,2024-02-20 09:44:36.147,014026712
026712-08,PM3006S,PM2.5,50,1000,ug/m3,1,Partículas PM 2.5,Cubic,PM3006S-PM2.5,2024-02-20 09:44:36.147,014026712
026712-09,PM3006S,PM10,100,1000,ug/m3,1,Partículas PM 10,Cubic,PM3006S-PM10,2024-02-20 09:44:36.147,014026712
026712-10,FST200,DV,0,360,°,1,Dirección del Viento,First Rate,FST200-DV,2024-02-20 09:44:36.147,014026712
026712-11,FST200,VV,0,70,m/s,1,Velocidad del Viento,First Rate,FST200-VV,2024-02-20 09:44:36.147,014026712
026712-12,MH-RD,PP,0,100,%,1,Precipitación Pluvial,OEM,MH-RD-PP,2024-02-20 09:44:36.147,014026712
026712-13,MH-RD,LL,0,1,x,1,Lluvia Presente,OEM,MH-RD-LL,2024-02-20 09:44:36.147,014026712
